hz,estimators,time,device
25,3,0.030162941428573373,local
25,4,0.04418689285714338,local
25,5,0.06475728857142744,local
25,10,0.3032671142857128,local
100,3,0.0468180899999993,local
100,4,0.03966068285714073,local
100,5,0.10245114714285657,local
100,10,0.2571284857142798,local
