10,20,25,50,100
"{'accuracy': 0.9420289855072463, 'f1': 0.8764069264069264, 'precision': 0.9375, 'recall': 0.8660714285714286, 'time': [0.0001653437600000018, 0.00017472570000000474, 0.00019330759999999713, 0.0001846095900000023, 0.0001810745300000008, 0.00018436869999999885, 0.00020304865999999606]}","{'accuracy': 0.9420289855072463, 'f1': 0.8764069264069264, 'precision': 0.9375, 'recall': 0.8660714285714286, 'time': [0.00035551350000002913, 0.00207480129999999, 0.000343831200000011, 0.0004532176000000163, 0.000701578999999981, 0.0009361670999999774, 0.0039909633999999986]}","{'accuracy': 0.927536231884058, 'f1': 0.8789173789173789, 'precision': 0.8713369963369964, 'recall': 0.8898809523809523, 'time': [0.00024315159999997604, 9.926530000001321e-05, 0.00012322320000004083, 0.00011023180000000821, 0.00019637069999998858, 0.0001496008999999958, 0.00012539860000003954]}","{'accuracy': 0.927536231884058, 'f1': 0.8828289992119779, 'precision': 0.8774038461538461, 'recall': 0.8898809523809523, 'time': [0.00014157629999999699, 0.0001899823999999626, 0.00012298240000001214, 0.00010140410000002476, 0.0001778985999999918, 0.00011463839999998982, 0.0001241072999999915]}","{'accuracy': 0.8840579710144928, 'f1': 0.776697177726926, 'precision': 0.7824951160783244, 'recall': 0.771868530020704, 'time': [0.00015825234000000138, 0.00014172988999999915, 0.00015154062000000295, 0.00015194395999999983, 0.00016238142000000267, 0.0001880991999999992, 0.00019147859999999923]}"
"{'accuracy': 0.8695652173913043, 'f1': 0.7820928959661918, 'precision': 0.8208333333333333, 'recall': 0.7828674948240165, 'time': [0.0005577392999999802, 0.0012003946000000382, 0.003889007399999969, 0.006152074800000037, 0.0052409593999999515, 0.0026160046999999624, 0.005819679900000039]}","{'accuracy': 0.9420289855072463, 'f1': 0.8891304347826088, 'precision': 0.96875, 'recall': 0.8541666666666666, 'time': [0.031414769999997816, 0.019645079999997962, 0.006057140000001482, 0.004028619999996863, 0.006537689999998974, 0.006314220000001569, 0.009119900000001735]}","{'accuracy': 0.9565217391304348, 'f1': 0.908041958041958, 'precision': 0.9142857142857143, 'recall': 0.9077380952380952, 'time': [0.0005137225999999941, 0.0005181455000000028, 0.0005274903999999765, 0.0005628013000000464, 0.0006034521000000268, 0.0004642766999999708, 0.0005392145999999798]}","{'accuracy': 0.9565217391304348, 'f1': 0.9435578310578311, 'precision': 0.9553571428571429, 'recall': 0.9385351966873705, 'time': [0.00047093970000003084, 0.0005003211999999735, 0.0005325439000000074, 0.0004523811999999907, 0.0005163903999999775, 0.0005054683999999838, 0.0005210333999999647]}","{'accuracy': 0.9855072463768116, 'f1': 0.9854545454545455, 'precision': 0.9807692307692308, 'recall': 0.9910714285714286, 'time': [0.0004886794999999892, 0.0005692460000000211, 0.0005165055999999594, 0.0005239180000000374, 0.0005315054000000146, 0.0005827793999999926, 0.0005313171000000239]}"
"{'accuracy': 0.9420289855072463, 'f1': 0.903961038961039, 'precision': 0.912912087912088, 'recall': 0.8988095238095238, 'time': [0.00024063050000000885, 0.0002441628000000264, 0.0005657620000000065, 0.0006874227000000133, 0.001469219100000032, 0.002497089799999969, 0.00109573180000001]}","{'accuracy': 0.9710144927536232, 'f1': 0.9413793103448276, 'precision': 0.9833333333333334, 'recall': 0.9166666666666666, 'time': [0.0004912930000000415, 0.000856113300000004, 0.002141513599999996, 0.0012905748000000016, 0.0001523687000000109, 0.0001016700000000128, 0.00014914950000002137]}","{'accuracy': 0.9420289855072463, 'f1': 0.9119252873563218, 'precision': 0.9541666666666666, 'recall': 0.8869047619047619, 'time': [0.00011859897999999589, 0.00013657676999999922, 0.00012622372000000156, 0.00011735735000000318, 0.00015366058999999836, 0.0001429518499999972, 0.00014507083999999964]}","{'accuracy': 0.9130434782608695, 'f1': 0.8533045977011494, 'precision': 0.8833333333333333, 'recall': 0.8363095238095238, 'time': [0.00014261800000002722, 0.00015434940000000097, 0.00012580420000000457, 0.00014464650000002165, 8.66095999999743e-05, 9.676819999998542e-05, 9.26101000000017e-05]}","{'accuracy': 0.927536231884058, 'f1': 0.8890550239234449, 'precision': 0.9033045977011495, 'recall': 0.8779761904761905, 'time': [0.0001366099399999996, 0.00011993941000000063, 0.00013050718000000075, 0.00013071984000000042, 0.0001356508500000018, 0.00015768928999999616, 0.00014554846999999995]}"
"{'accuracy': 0.9420289855072463, 'f1': 0.9129120879120879, 'precision': 0.9464285714285714, 'recall': 0.8988095238095238, 'time': [0.0017668206000000168, 0.0003197501999999872, 0.00025195839999997817, 0.0005406472999999892, 0.00037387430000001133, 0.0017214255000000094, 0.001241615500000023]}","{'accuracy': 0.927536231884058, 'f1': 0.8792915118351391, 'precision': 0.9573252688172044, 'recall': 0.8452380952380952, 'time': [0.00014592365000000313, 0.00015070253000000093, 0.0001498498600000005, 0.00013830682999999908, 0.000122783069999997, 0.00013772177000000169, 0.00016823570000000247]}","{'accuracy': 0.8840579710144928, 'f1': 0.824496868379847, 'precision': 0.8330357142857143, 'recall': 0.8184523809523809, 'time': [0.00011680082999999967, 0.00012312680000000002, 0.00011730459999999993, 0.000137533209999998, 0.0001352722599999993, 0.00012670415000000048, 0.00013809197000000495]}","{'accuracy': 0.9130434782608695, 'f1': 0.878879985262964, 'precision': 0.8919642857142858, 'recall': 0.8690476190476191, 'time': [0.0001304705600000034, 0.00013431533999999488, 0.00012325465000000122, 0.00015179749999999785, 0.0001231333099999972, 0.00013951197000000093, 0.00014784541999999875]}","{'accuracy': 0.9130434782608695, 'f1': 0.878879985262964, 'precision': 0.8919642857142858, 'recall': 0.8690476190476191, 'time': [0.00011906889999999634, 0.00013092563999999812, 0.0001361656499999981, 0.00014391962000000262, 0.00013191585999999803, 0.00014516691000000036, 0.0001404769799999997]}"
